# GOLDEN SET REVIEW
#
# PART A (reviewed) - labels pre-filled. Edit after '|' only where you disagree.
# PART B (BLIND) - labels are EMPTY on purpose. Fill them from your own head
#   BEFORE reading anything else. These 20 are deliberately ambiguous problems;
#   they carry the gate's real discriminating power. Part A is anchored (a label
#   was shown to you first) and is graded separately for that reason.
#
# Vocabulary: content/PROMPT-leetcode-mapping.md (124 slugs; scaffold slugs illegal).
# When done:  python scripts/build_golden.py

# ===================== PART A - reviewed =====================

# --- two-pointers  (8) ----------------------------------------
    11  M  Container With Most Water                    | two-pointers
   215  M  Kth Largest Element in an Array              | top-k-with-a-heap
   347  M  Top K Frequent Elements                      | top-k-with-a-heap

# --- anagrams  (2) --------------------------------------------
    49  M  Group Anagrams                               | anagrams
   242  E  Valid Anagram                                | anagrams

# --- bfs-on-graphs  (2) ---------------------------------------
   127  H  Word Ladder                                  | bfs-on-graphs
   994  M  Rotting Oranges                              | bfs-on-graphs

# --- dfs-pre-in-post  (2) -------------------------------------
    94  E  Binary Tree Inorder Traversal                | dfs-pre-in-post
   230  M  Kth Smallest Element in a BST                | dfs-pre-in-post

# --- fast-and-slow-pointers  (2) ------------------------------
    19  M  Remove Nth Node From End of List             | fast-and-slow-pointers
   876  E  Middle of the Linked List                    | fast-and-slow-pointers

# --- floyd-s-cycle-detection  (2) -----------------------------
   141  E  Linked List Cycle                            | floyd-s-cycle-detection
   202  E  Happy Number                                 | floyd-s-cycle-detection

# --- frequency-counting  (2) ----------------------------------
   169  E  Majority Element                             | frequency-counting
   383  E  Ransom Note                                  | frequency-counting

# --- grid-dp-unique-paths-min-path-sum  (2) -------------------
    62  M  Unique Paths                                 | grid-dp-unique-paths-min-path-sum
    64  M  Minimum Path Sum                             | grid-dp-unique-paths-min-path-sum

# --- interval-scheduling  (2) ---------------------------------
   435  M  Non-overlapping Intervals                    | interval-scheduling
  1235  H  Maximum Profit in Job Scheduling             | interval-scheduling

# --- memoization-top-down  (2) --------------------------------
    10  H  Regular Expression Matching                  | memoization-top-down
   329  H  Longest Increasing Path in a Matrix          | memoization-top-down

# --- monotonic-stack  (2) -------------------------------------
    84  H  Largest Rectangle in Histogram               | monotonic-stack
   739  M  Daily Temperatures                           | monotonic-stack

# --- prefix-sums  (2) -----------------------------------------
   238  M  Product of Array Except Self                 | prefix-sums
   560  M  Subarray Sum Equals K                        | prefix-sums

# --- single-number-xor  (2) -----------------------------------
   136  E  Single Number                                | single-number-xor
   268  E  Missing Number                               | single-number-xor

# --- sliding-window-variable  (2) -----------------------------
     3  M  Longest Substring Without Repeating Characte | sliding-window-variable
    76  H  Minimum Window Substring                     | sliding-window-variable

# --- trie-prefix-tree  (2) ------------------------------------
   208  M  Implement Trie (Prefix Tree)                 | trie-prefix-tree
   212  H  Word Search II                               | trie-prefix-tree

# --- two-pointers-on-strings  (2) -----------------------------
   344  E  Reverse String                               | two-pointers-on-strings
   392  E  Is Subsequence                               | two-pointers-on-strings

# --- 0-1-knapsack  (1) ----------------------------------------
   416  M  Partition Equal Subset Sum                   | 0-1-knapsack

# --- 2d-arrays-and-matrices  (1) ------------------------------
    48  M  Rotate Image                                 | 2d-arrays-and-matrices

# --- bitwise-operators  (1) -----------------------------------
   231  E  Power of Two                                 | bitwise-operators

# --- climbing-stairs-fibonacci  (1) ---------------------------
    70  E  Climbing Stairs                              | climbing-stairs-fibonacci

# --- coin-change  (1) -----------------------------------------
   322  M  Coin Change                                  | coin-change

# --- combination-sum  (1) -------------------------------------
    39  M  Combination Sum                              | combination-sum

# --- combinatorics-and-counting  (1) --------------------------
   118  E  Pascal's Triangle                            | combinatorics-and-counting

# --- connected-components  (1) --------------------------------
   200  M  Number of Islands                            | connected-components

# --- counting-bits  (1) ---------------------------------------
   191  E  Number of 1 Bits                             | counting-bits

# --- dijkstra-s-algorithm  (1) --------------------------------
   743  M  Network Delay Time                           | dijkstra-s-algorithm

# --- edit-distance  (1) ---------------------------------------
    72  M  Edit Distance                                | edit-distance

# --- fenwick-tree-bit  (1) ------------------------------------
   307  M  Range Sum Query - Mutable                    | fenwick-tree-bit

# --- house-robber  (1) ----------------------------------------
   198  M  House Robber                                 | house-robber

# --- jump-game  (1) -------------------------------------------
    55  M  Jump Game                                    | jump-game

# --- level-order-bfs  (1) -------------------------------------
   102  M  Binary Tree Level Order Traversal            | level-order-bfs

# --- linked-list-rewiring  (1) --------------------------------
     2  M  Add Two Numbers                              | linked-list-rewiring

# --- longest-common-subsequence  (1) --------------------------
  1143  M  Longest Common Subsequence                   | longest-common-subsequence

# --- longest-increasing-subsequence  (1) ----------------------
   300  M  Longest Increasing Subsequence               | longest-increasing-subsequence

# --- lower-bound  (1) -----------------------------------------
    34  M  Find First and Last Position of Element in S | lower-bound

# --- lowest-common-ancestor  (1) ------------------------------
   235  M  Lowest Common Ancestor of a Binary Search Tr | lowest-common-ancestor

# --- merge-intervals  (1) -------------------------------------
    56  M  Merge Intervals                              | merge-intervals

# --- merge-sort  (1) ------------------------------------------
   493  H  Reverse Pairs                                | merge-sort

# --- merge-two-sorted-lists  (1) ------------------------------
    21  E  Merge Two Sorted Lists                       | merge-two-sorted-lists

# --- min-stack  (1) -------------------------------------------
   155  M  Min Stack                                    | min-stack

# --- monotonic-deque  (1) -------------------------------------
   239  H  Sliding Window Maximum                       | monotonic-deque

# --- n-queens  (1) --------------------------------------------
    51  H  N-Queens                                     | n-queens

# --- permutations  (1) ----------------------------------------
    46  M  Permutations                                 | permutations

# --- reverse-in-k-groups  (1) ---------------------------------
    25  H  Reverse Nodes in k-Group                     | reverse-in-k-groups

# --- subsets  (1) ---------------------------------------------
    78  M  Subsets                                      | subsets

# --- tabulation-bottom-up  (1) --------------------------------
   139  M  Word Break                                   | tabulation-bottom-up

# --- topological-sort  (1) ------------------------------------
   207  M  Course Schedule                              | topological-sort

# --- traversal-and-reversal  (1) ------------------------------
   206  E  Reverse Linked List                          | traversal-and-reversal

# --- tree-dp  (1) ---------------------------------------------
   124  H  Binary Tree Maximum Path Sum                 | tree-dp

# --- union-find  (1) ------------------------------------------
   684  M  Redundant Connection                         | union-find

# --- valid-parentheses  (1) -----------------------------------
    20  E  Valid Parentheses                            | valid-parentheses

# --- validate-a-bst  (1) --------------------------------------
    98  M  Validate Binary Search Tree                  | validate-a-bst

# ================= PART B - BLIND, fill these in =================
# No hints. Multiple defensible answers exist for most of these - that is the point.

   279  M  Perfect Squares                              | coin-change
   287  M  Find the Duplicate Number                    | floyd-s-cycle-detection
   240  M  Search a 2D Matrix II                        | two-pointers
   148  M  Sort List                                    | merge-sort
   621  M  Task Scheduler                               | why-greedy-works
   973  M  K Closest Points to Origin                   | top-k-with-a-heap
    45  M  Jump Game II                                 | jump-game
   494  M  Target Sum                                   | 0-1-knapsack
   542  M  01 Matrix                                    | bfs-on-graphs
   316  M  Remove Duplicate Letters                     | monotonic-stack
   402  M  Remove K Digits                              | monotonic-stack
   224  H  Basic Calculator                             | stack-fundamentals
   380  M  Insert Delete GetRandom O(1)                 | designing-data-structures
   337  M  House Robber III                             | tree-dp
   209  M  Minimum Size Subarray Sum                    | sliding-window-variable
   862  H  Shortest Subarray with Sum at Least K        | monotonic-deque
   863  M  All Nodes Distance K in Binary Tree          | bfs-on-graphs
   105  M  Construct Binary Tree from Preorder and Inor | dfs-pre-in-post
   236  M  Lowest Common Ancestor of a Binary Tree      | lowest-common-ancestor
   918  M  Maximum Sum Circular Subarray                | kadane-s-algorithm
